cloud,model,rate_type,dbu_rate,input_divisor,is_hourly,sku_product_type
AWS,bge-large,input_token,1.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,bge-large,provisioned_entry,24.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,bge-large,provisioned_scaling,24.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,deepseek-v4-flash-0731,cache_read,0.4,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,deepseek-v4-flash-0731,input_token,2.0,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,deepseek-v4-flash-0731,output_token,4.0,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,deepseek-v4-pro-0813,cache_read,1.886,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,deepseek-v4-pro-0813,input_token,18.857,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,deepseek-v4-pro-0813,output_token,56.571,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gemma-3-12b,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gemma-3-12b,output_token,7.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gemma-3-12b,provisioned_entry,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gemma-3-12b,provisioned_scaling,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,glm-5-2-priority,cache_read,6.5,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,glm-5-2-priority,input_token,35.0,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,glm-5-2-priority,output_token,110.0,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,glm-5-2,cache_read,3.714,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,glm-5-2,input_token,20.0,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,glm-5-2,output_token,62.857,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,glm-5-2,provisioned_entry_1_month,142.857,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,glm-5-2,provisioned_entry_3_month,121.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,glm-5-2,provisioned_scaling_1_month,142.857,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,glm-5-2,provisioned_scaling_3_month,121.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-120b,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-120b,output_token,8.571,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-120b,provisioned_entry,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-120b,provisioned_scaling,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-20b,input_token,1.0,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-20b,output_token,4.286,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-20b,provisioned_entry,53.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-20b,provisioned_scaling,53.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gte,input_token,1.857,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gte,provisioned_entry,20.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gte,provisioned_scaling,20.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,inkling,cache_read,2.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,inkling,input_token,14.286,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,inkling,output_token,57.857,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,kimi-k2-7,cache_read,2.714,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,kimi-k2-7,input_token,13.571,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,kimi-k2-7,output_token,57.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,kimi-k3,cache_read,4.286,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,kimi-k3,input_token,42.857,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,kimi-k3,output_token,214.286,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-1-8b,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-1-8b,output_token,6.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-1-8b,provisioned_entry,53.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-1-8b,provisioned_scaling,106.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-2-1b,provisioned_entry,42.857,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-2-1b,provisioned_scaling,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-2-3b,provisioned_entry,46.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-2-3b,provisioned_scaling,92.857,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-3-70b,input_token,7.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-3-70b,output_token,21.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-3-70b,provisioned_entry,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-3-70b,provisioned_scaling,342.857,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-4-maverick,input_token,7.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-4-maverick,output_token,21.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-4-maverick,provisioned_entry,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-4-maverick,provisioned_scaling,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen3-embedding-0-6b,input_token,0.286,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen3-embedding-0-6b,provisioned_entry,25.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen3-embedding-0-6b,provisioned_scaling,25.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen3-next-80b-a3b-instruct,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen3-next-80b-a3b-instruct,output_token,17.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen3-next-80b-a3b-instruct,provisioned_entry,78.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen3-next-80b-a3b-instruct,provisioned_scaling,78.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen35-122b-a10b-priority,input_token,6.286,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen35-122b-a10b-priority,output_token,62.858,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen35-122b-a10b,input_token,3.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen35-122b-a10b,output_token,31.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen35-122b-a10b,provisioned_entry,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,qwen35-122b-a10b,provisioned_scaling,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,bge-large,input_token,1.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,bge-large,provisioned_entry,24.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,bge-large,provisioned_scaling,24.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,deepseek-v4-flash-0731,cache_read,0.4,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,deepseek-v4-flash-0731,input_token,2.0,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,deepseek-v4-flash-0731,output_token,4.0,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,deepseek-v4-pro-0813,cache_read,1.886,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,deepseek-v4-pro-0813,input_token,18.857,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,deepseek-v4-pro-0813,output_token,56.571,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gemma-3-12b,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
