cloud,region,instance_type,pricing_tier,payment_option,cost_per_hour,currency,source,fetched_at
AZURE,northeurope,Standard_E8ps_v6,on_demand,NA,0.412,USD,Azure Retail Prices API,2025-12-18T04:45:29.011323
AZURE,northeurope,Standard_E8ps_v6,reserved_1y,NA,0.243037,USD,Azure Retail Prices API,2025-12-18T04:45:30.972601
AZURE,northeurope,Standard_E8ps_v6,reserved_3y,NA,0.156545,USD,Azure Retail Prices API,2025-12-18T04:45:30.972607
AZURE,northeurope,Standard_E8ps_v6,spot,NA,0.076138,USD,Azure Retail Prices API,2025-12-18T04:45:29.009503
AZURE,northeurope,Standard_E8s_v3,on_demand,NA,0.564,USD,Azure Retail Prices API,2025-12-18T04:45:29.011302
AZURE,northeurope,Standard_E8s_v3,reserved_1y,NA,0.348516,USD,Azure Retail Prices API,2025-12-18T04:45:30.972590
AZURE,northeurope,Standard_E8s_v3,reserved_3y,NA,0.222907,USD,Azure Retail Prices API,2025-12-18T04:45:30.972595
AZURE,northeurope,Standard_E8s_v3,spot,NA,0.142861,USD,Azure Retail Prices API,2025-12-18T04:45:29.010837
AZURE,northeurope,Standard_E8s_v4,on_demand,NA,0.564,USD,Azure Retail Prices API,2025-12-18T04:45:29.009674
AZURE,northeurope,Standard_E8s_v4,reserved_1y,NA,0.331621,USD,Azure Retail Prices API,2025-12-18T04:45:30.969814
AZURE,northeurope,Standard_E8s_v4,reserved_3y,NA,0.212062,USD,Azure Retail Prices API,2025-12-18T04:45:30.969818
AZURE,northeurope,Standard_E8s_v4,spot,NA,0.139646,USD,Azure Retail Prices API,2025-12-18T04:45:29.009823
AZURE,northeurope,Standard_E8s_v5,on_demand,NA,0.564,USD,Azure Retail Prices API,2025-12-18T04:45:29.010776
AZURE,northeurope,Standard_E8s_v5,reserved_1y,NA,0.327169,USD,Azure Retail Prices API,2025-12-18T04:45:30.971864
AZURE,northeurope,Standard_E8s_v5,reserved_3y,NA,0.208676,USD,Azure Retail Prices API,2025-12-18T04:45:30.971871
AZURE,northeurope,Standard_E8s_v5,spot,NA,0.161642,USD,Azure Retail Prices API,2025-12-18T04:45:29.010013
AZURE,northeurope,Standard_E96a_v4,on_demand,NA,6.768,USD,Azure Retail Prices API,2025-12-18T04:45:29.009630
AZURE,northeurope,Standard_E96a_v4,reserved_1y,NA,3.978082,USD,Azure Retail Prices API,2025-12-18T04:45:30.969722
